booking_id,location_id,place_name,city,state,booking_date,hour,status,total_bookings,completed_visits,cancelled_visits,avg_fee_inr,avg_wait_time_mins,avg_duration_mins
2090,1,India Gate,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Humayun's Tomb,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Akshardham Temple,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Waste to Wonder Park,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Jantar Mantar,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Chandni Chowk,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Lotus Temple,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Red Fort,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Agrasen ki Baoli,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Sunder Nursery,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Garden of Five Senses,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Lodhi Garden,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,National Gallery of Modern Art,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,National Zoological Park,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Qutub Minar,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,Shopping at Sarojini Nagar,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2090,1,National Science Centre,Delhi,Delhi,2021-09-01,8,Completed,1,1,0,30,28,68
2091,2,Marine Drive,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Gateway of India,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,NCPA Tiger safari at Borivali,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Shopping at Colaba Causeway,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,"Shopping at Linking road, Bandra",Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,"Phoenix marketcity Mall, Kurla",Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,"Jio world drive mall, BKC",Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,"Five gardens, Matunga",Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Worli seaface,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Siddhivinayak Temple,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Mahalaxmi Temple,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Haji Ali Dargah,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Chowpatty Beach,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Essel World,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2091,2,Elephanta Caves,Mumbai,Maharastra,2020-12-15,12,Cancelled,1,0,1,500,25,144
2092,3,Tiger�s Leap cliff top,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Duke's nose trail,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Adlabs Imagica,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Bhushi dam,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Sunset at Lion's point,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Karla Caves,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Imagicaa amusement park,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
2092,3,Lions Point,Lonavala,Maharastra,2020-12-23,13,No-Show,1,0,0,30,28,45
