location_name,date,temp_c,rainfall_mm,humidity_pct
Delhi,2019-01,12.92258065,26.8,70.32258065
Delhi,2019-02,15.06785714,48.8,75.28571429
Delhi,2019-03,20.3,13.6,57.29032258
Delhi,2019-04,29.11333333,5.5,39.96666667
Delhi,2019-05,32.13548387,3.5,31.4516129
Delhi,2019-06,34.64666667,10.7,40.33333333
Delhi,2019-07,30.61612903,184.9,71.5483871
Delhi,2019-08,28.85806452,199.1,83
Delhi,2019-09,28.32333333,82.4,80.7
Delhi,2019-10,25.8,14.8,61.74193548
Delhi,2019-11,20.96,25.4,66.7
Delhi,2019-12,12.50322581,9.8,79.87096774
Delhi,2020-01,12.63225806,65.9,79.93548387
Delhi,2020-02,15.96206897,28.1,69.65517241
Delhi,2020-03,19.80645161,65.2,70.38709677
Delhi,2020-04,26.95666667,5.5,46.53333333
Delhi,2020-05,31.09354839,34,42.41935484
Delhi,2020-06,32.31,10.9,57.03333333
Delhi,2020-07,30.79677419,113.9,72.12903226
Delhi,2020-08,29.01935484,209,81.90322581
Delhi,2020-09,29.67666667,38.4,69.33333333
Delhi,2020-10,25.94516129,0,48.48387097
Delhi,2020-11,19.12,13.1,55.16666667
Delhi,2020-12,14.70645161,1.3,68.25806452
Delhi,2021-01,13.06451613,26.7,78.96774194
Delhi,2021-02,18.08928571,11.1,68.42857143
Delhi,2021-03,24.53870968,1.5,45.67741935
Delhi,2021-04,28.84,2.6,26.2
Delhi,2021-05,29.71290323,147.3,48.48387097
Delhi,2021-06,31.93,23.5,57.06666667
Delhi,2021-07,31.08064516,282.1,70.16129032
Delhi,2021-08,29.21612903,125,77.48387097
Delhi,2021-09,27.52333333,147.1,84.36666667
Delhi,2021-10,25.30645161,33.8,67.16129032
Delhi,2021-11,19.54666667,0,61.26666667
Delhi,2021-12,14.4516129,15.5,70.51612903
Delhi,2022-01,12.13870968,60.9,81.25806452
Delhi,2022-02,15.67857143,23.3,70.35714286
Delhi,2022-03,24.61935484,1.6,50.77419355
Delhi,2022-04,32.08666667,0,19.06666667
Delhi,2022-05,32.93870968,27.6,40.06451613
Delhi,2022-06,33.4,47.8,42.4
Delhi,2022-07,29.62258065,222.5,77.41935484
Delhi,2022-08,29.11290323,80.3,75.12903226
Delhi,2022-09,28.65333333,168.9,72.13333333
Delhi,2022-10,24.17096774,90.9,69.87096774
Delhi,2022-11,19.82333333,7.6,64.2
Delhi,2022-12,14.67096774,0,72.58064516
Chandigarh,2019-01,12.29032258,78.9,68.51612903
Chandigarh,2019-02,14.075,184.4,73.5
Chandigarh,2019-03,18.48064516,17.4,61.5483871
Chandigarh,2019-04,26.93333333,32.2,42.56666667
Chandigarh,2019-05,30.65483871,0.7,30.16129032
Chandigarh,2019-06,33.07666667,3.8,37.26666667
Chandigarh,2019-07,28.79032258,350,77.03225806
Chandigarh,2019-08,28.01935484,253.1,83.25806452
Chandigarh,2019-09,27.00666667,107.6,81.53333333
Chandigarh,2019-10,23.11612903,3.8,71.19354839
Chandigarh,2019-11,18.91333333,29.9,67.16666667
Chandigarh,2019-12,12.01612903,45.6,79.19354839
Chandigarh,2020-01,11.74516129,99,77.77419355
Chandigarh,2020-02,15.3,19.4,69.93103448
Chandigarh,2020-03,18.6483871,118.3,65.12903226
Chandigarh,2020-04,25.35666667,14.4,44.2
Chandigarh,2020-05,29.68709677,16.9,39.77419355
Chandigarh,2020-06,31.05666667,13.3,55.16666667
Chandigarh,2020-07,29.20967742,119,74.48387097
Chandigarh,2020-08,28.39354839,158.2,80.48387097
Chandigarh,2020-09,28.69333333,16.2,66.96666667
Chandigarh,2020-10,25.43225806,0,43.48387097
Chandigarh,2020-11,18.59,19.3,54.73333333
Chandigarh,2020-12,13.77419355,15.9,68.87096774
Chandigarh,2021-01,12.68709677,19.4,78.51612903
Chandigarh,2021-02,16.95,8.7,63.25
Chandigarh,2021-03,22.74193548,1,42.58064516
Chandigarh,2021-04,25.96666667,45.4,33.23333333
Chandigarh,2021-05,28.66451613,25.5,45
Chandigarh,2021-06,30.36,43.1,57
Chandigarh,2021-07,29.70645161,320.6,71.5483871
Chandigarh,2021-08,28.17096774,91.1,79.87096774
Chandigarh,2021-09,27.65666667,48.8,75.73333333
Chandigarh,2021-10,24.43870968,64.5,63.61290323
Chandigarh,2021-11,18.41,0,56.36666667
Chandigarh,2021-12,13.43870968,2.6,67.48387097
Chandigarh,2022-01,11.94516129,121.5,79.70967742
Chandigarh,2022-02,14.14642857,37.4,66.53571429
Chandigarh,2022-03,23.48064516,0.9,49.35483871
Chandigarh,2022-04,30.17,0.2,24.2
Chandigarh,2022-05,30.94516129,21.6,39.41935484
Chandigarh,2022-06,31.78666667,140.8,42.96666667
Chandigarh,2022-07,28.42258065,219.9,79.67741935
